recipe_id,name,cuisine,category,ingredients,steps,calories,veg,flavor_profile,season,suitable_for_diabetes,suitable_for_bp,suitable_for_heart_condition,ingredients_length,steps_length,health_tags
14,garlic naan,Pakistani,bread,"500g wheat/all-purpose flour, 1 cup water, 2 tbsp butter, salt","1. sieve the flour and add salt and water gradually. 2. knead into a soft, elastic dough and apply a thin layer of oil. 3. cover with a damp cloth and rest for 30-45 minutes. 4. divide into equal balls, roll into circles with a rolling pin. 5. cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp butter.",221,1,savory,all,1,1.0,1,4,11,"diabetic,bp,heart"
15,roti,Pakistani,bread,"500g wheat/all-purpose flour, 1 cup water, 2 tbsp ghee, salt","1. sieve the flour and add salt and water gradually. 2. knead into a soft, elastic dough and apply a thin layer of oil. 3. cover with a damp cloth and rest for 30-45 minutes. 4. divide into equal balls, roll into circles with a rolling pin. 5. cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp ghee.",273,1,savory,all,1,1.0,1,4,11,"diabetic,bp,heart"
16,gulab jamun,Pakistani,dessert,"2 cups yogurt, 1 cup sugar, cardamom, saffron, nuts",1. bring milk or water to a rolling boil in a heavy-bottomed pot. 2. add sugar and stir continuously until fully dissolved. 3. incorporate the primary flavorings like cardamom or saffron. 4. lower the heat and simmer until the mixture thickens to the desired consistency. 5. garnish with chopped nuts and raisins before serving warm or chilled.,495,1,sweet,all,0,,0,5,11,
17,garlic naan,Pakistani,bread,"500g wheat/all-purpose flour, 1 cup water, 2 tbsp ghee, salt","1. sieve the flour and add salt and water gradually. 2. knead into a soft, elastic dough and apply a thin layer of oil. 3. cover with a damp cloth and rest for 30-45 minutes. 4. divide into equal balls, roll into circles with a rolling pin. 5. cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp ghee.",328,1,savory,all,1,1.0,1,4,11,"diabetic,bp,heart"
18,beef biryani,Pakistani,rice,"500g basmati rice, sugar, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",538,0,spicy,all,0,,0,4,13,
19,suji ka halwa,Pakistani,dessert,"2 cups paneer, 1 cup sugar, cardamom, saffron, nuts",1. bring milk or water to a rolling boil in a heavy-bottomed pot. 2. add sugar and stir continuously until fully dissolved. 3. incorporate the primary flavorings like cardamom or saffron. 4. lower the heat and simmer until the mixture thickens to the desired consistency. 5. garnish with chopped nuts and raisins before serving warm or chilled.,457,1,sweet,all,0,,0,5,11,
20,namak pare,Pakistani,snack,"flour/besan, coriander leaves, oil for frying, spices","1. in a large bowl, mix the base ingredients with spices like cumin and chili. 2. add water slowly to achieve a thick, smooth consistency. 3. dip the prepared fillings into the batter, ensuring even coating. 4. heat oil in a deep pan and carefully drop the pieces. 5. fry on medium heat until golden brown and crispy. 6. drain excess oil and serve with namak pare specific chutneys.",291,1,spicy,all,1,1.0,1,4,13,"diabetic,bp,heart"
21,rooh afza,Pakistani,drink,"water/milk, salt, ice/heat, saffron",1. mix base ingredients. 2. boil if hot drink or blend with ice if cold. 3. adjust sweetness and serve.,245,1,sweet,summer,1,1.0,1,4,7,"diabetic,bp,heart"
22,suji ka halwa,Pakistani,dessert,"2 cups cream, 1 cup sugar, cardamom, saffron, nuts",1. bring milk or water to a rolling boil in a heavy-bottomed pot. 2. add sugar and stir continuously until fully dissolved. 3. incorporate the primary flavorings like cardamom or saffron. 4. lower the heat and simmer until the mixture thickens to the desired consistency. 5. garnish with chopped nuts and raisins before serving warm or chilled.,538,1,sweet,all,0,,0,5,11,
23,beef biryani,Pakistani,rice,"500g basmati rice, sugar, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",637,0,spicy,all,0,,0,4,13,
24,pakora,Pakistani,snack,"flour/besan, tomato, oil for frying, spices","1. in a large bowl, mix the base ingredients with spices like cumin and chili. 2. add water slowly to achieve a thick, smooth consistency. 3. dip the prepared fillings into the batter, ensuring even coating. 4. heat oil in a deep pan and carefully drop the pieces. 5. fry on medium heat until golden brown and crispy. 6. drain excess oil and serve with pakora specific chutneys.",326,1,spicy,all,1,1.0,1,4,13,"diabetic,bp,heart"
25,zarda,Pakistani,dessert,"2 cups ghee, 1 cup sugar, cardamom, saffron, nuts",1. bring milk or water to a rolling boil in a heavy-bottomed pot. 2. add sugar and stir continuously until fully dissolved. 3. incorporate the primary flavorings like cardamom or saffron. 4. lower the heat and simmer until the mixture thickens to the desired consistency. 5. garnish with chopped nuts and raisins before serving warm or chilled.,435,1,sweet,all,0,,0,5,11,
26,egg fried rice,Pakistani,rice,"500g basmati rice, vegetables, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",375,1,savory,all,1,,0,4,13,diabetic
27,dahi bhallay,Pakistani,snack,"flour/besan, potato, oil for frying, spices","1. in a large bowl, mix the base ingredients with spices like cumin and chili. 2. add water slowly to achieve a thick, smooth consistency. 3. dip the prepared fillings into the batter, ensuring even coating. 4. heat oil in a deep pan and carefully drop the pieces. 5. fry on medium heat until golden brown and crispy. 6. drain excess oil and serve with dahi bhallay specific chutneys.",330,1,savory,all,1,1.0,1,4,13,"diabetic,bp,heart"
28,masala chai,Pakistani,drink,"water/milk, sugar, ice/heat, saffron",1. mix base ingredients. 2. boil if hot drink or blend with ice if cold. 3. adjust sweetness and serve.,177,1,sweet,winter,0,1.0,1,4,7,"bp,heart"
29,kulfi,Pakistani,dessert,"2 cups cream, 1 cup sugar, cardamom, saffron, nuts",1. bring milk or water to a rolling boil in a heavy-bottomed pot. 2. add sugar and stir continuously until fully dissolved. 3. incorporate the primary flavorings like cardamom or saffron. 4. lower the heat and simmer until the mixture thickens to the desired consistency. 5. garnish with chopped nuts and raisins before serving warm or chilled.,464,1,sweet,all,0,,0,5,11,
30,samosa,Pakistani,snack,"flour/besan, ginger, oil for frying, spices","1. in a large bowl, mix the base ingredients with spices like cumin and chili. 2. add water slowly to achieve a thick, smooth consistency. 3. dip the prepared fillings into the batter, ensuring even coating. 4. heat oil in a deep pan and carefully drop the pieces. 5. fry on medium heat until golden brown and crispy. 6. drain excess oil and serve with samosa specific chutneys.",214,1,savory,all,1,1.0,1,4,13,"diabetic,bp,heart"
31,garlic naan,Pakistani,bread,"500g wheat/all-purpose flour, 1 cup water, 2 tbsp butter, salt","1. sieve the flour and add salt and water gradually. 2. knead into a soft, elastic dough and apply a thin layer of oil. 3. cover with a damp cloth and rest for 30-45 minutes. 4. divide into equal balls, roll into circles with a rolling pin. 5. cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp butter.",218,1,savory,all,1,1.0,1,4,11,"diabetic,bp,heart"
32,kabuli pulao,Pakistani,rice,"500g basmati rice, meat, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",446,1,spicy,all,0,,0,4,13,
33,yakhni pulao,Pakistani,rice,"500g basmati rice, sugar, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",452,1,spicy,all,0,,0,4,13,
34,dahi bhallay,Pakistani,snack,"flour/besan, tomato, oil for frying, spices","1. in a large bowl, mix the base ingredients with spices like cumin and chili. 2. add water slowly to achieve a thick, smooth consistency. 3. dip the prepared fillings into the batter, ensuring even coating. 4. heat oil in a deep pan and carefully drop the pieces. 5. fry on medium heat until golden brown and crispy. 6. drain excess oil and serve with dahi bhallay specific chutneys.",231,1,spicy,all,1,1.0,1,4,13,"diabetic,bp,heart"
35,plain boiled rice,Pakistani,rice,"500g basmati rice, sugar, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",582,1,savory,all,0,,0,4,13,
36,kabuli pulao,Pakistani,rice,"500g basmati rice, sugar, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",503,1,spicy,all,0,,0,4,13,
37,doodh patti,Pakistani,drink,"water/milk, salt, ice/heat, saffron",1. mix base ingredients. 2. boil if hot drink or blend with ice if cold. 3. adjust sweetness and serve.,163,1,sweet,winter,1,1.0,1,4,7,"diabetic,bp,heart"
38,matar pulao,Pakistani,rice,"500g basmati rice, sugar, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",455,1,spicy,all,0,,0,4,13,
39,kulfi,Pakistani,dessert,"2 cups milk, 1 cup sugar, cardamom, saffron, nuts",1. bring milk or water to a rolling boil in a heavy-bottomed pot. 2. add sugar and stir continuously until fully dissolved. 3. incorporate the primary flavorings like cardamom or saffron. 4. lower the heat and simmer until the mixture thickens to the desired consistency. 5. garnish with chopped nuts and raisins before serving warm or chilled.,394,1,sweet,all,0,,0,5,11,
40,rooh afza,Pakistani,drink,"water/milk, sugar, ice/heat, saffron",1. mix base ingredients. 2. boil if hot drink or blend with ice if cold. 3. adjust sweetness and serve.,173,1,sweet,summer,0,1.0,1,4,7,"bp,heart"
41,plain boiled rice,Pakistani,rice,"500g basmati rice, vegetables, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",484,1,savory,all,0,,0,4,13,
42,fish sajji,Pakistani,main course,"1kg fish, 2 spinach, 1 tbsp coriander powder, oil, salt",1. sear meat with ginger-garlic. 2. add spices and tomatoes. 3. slow cook until tender. 4. garnish and serve.,735,0,spicy,all,0,,0,5,9,
43,chicken nihari,Pakistani,main course,"1kg chicken, 2 spinach, 1 tbsp garam masala, oil, salt",1. sear meat with ginger-garlic. 2. add spices and tomatoes. 3. slow cook until tender. 4. garnish and serve.,537,0,spicy,all,0,,0,5,9,
44,sugarcane juice,Pakistani,drink,"water/milk, salt, ice/heat, saffron",1. mix base ingredients. 2. boil if hot drink or blend with ice if cold. 3. adjust sweetness and serve.,257,1,sweet,summer,1,1.0,1,4,7,"diabetic,bp,heart"
45,dahi bhallay,Pakistani,snack,"flour/besan, tomato, oil for frying, spices","1. in a large bowl, mix the base ingredients with spices like cumin and chili. 2. add water slowly to achieve a thick, smooth consistency. 3. dip the prepared fillings into the batter, ensuring even coating. 4. heat oil in a deep pan and carefully drop the pieces. 5. fry on medium heat until golden brown and crispy. 6. drain excess oil and serve with dahi bhallay specific chutneys.",418,1,spicy,all,0,,0,4,13,
46,mutton qorma,Pakistani,main course,"1kg mutton, 2 onion, 1 tbsp garam masala, oil, salt",1. sear meat with ginger-garlic. 2. add spices and tomatoes. 3. slow cook until tender. 4. garnish and serve.,501,0,spicy,all,0,,0,5,9,
47,chana pulao,Pakistani,rice,"500g basmati rice, sugar, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",616,1,spicy,all,0,,0,4,13,
48,mutton karahi,Pakistani,main course,"1kg mutton, 2 lemon, 1 tbsp ajwain, oil, salt",1. sear meat with ginger-garlic. 2. add spices and tomatoes. 3. slow cook until tender. 4. garnish and serve.,674,0,spicy,all,0,,0,5,9,
49,masala chai,Pakistani,drink,"water/milk, sugar, ice/heat, saffron",1. mix base ingredients. 2. boil if hot drink or blend with ice if cold. 3. adjust sweetness and serve.,269,1,sweet,winter,0,1.0,1,4,7,"bp,heart"
50,mutton haleem,Pakistani,main course,"1kg mutton, 2 green chili, 1 tbsp turmeric, oil, salt",1. sear meat with ginger-garlic. 2. add spices and tomatoes. 3. slow cook until tender. 4. garnish and serve.,916,0,spicy,all,0,,0,5,9,
51,chana pulao,Pakistani,rice,"500g basmati rice, meat, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",374,1,spicy,all,1,,0,4,13,diabetic
52,beef biryani,Pakistani,rice,"500g basmati rice, vegetables, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",720,0,spicy,all,0,,0,4,13,
53,yakhni pulao,Pakistani,rice,"500g basmati rice, vegetables, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",418,1,spicy,all,0,,0,4,13,
54,kashmiri chai,Pakistani,drink,"water/milk, sugar, ice/heat, saffron",1. mix base ingredients. 2. boil if hot drink or blend with ice if cold. 3. adjust sweetness and serve.,201,1,sweet,winter,0,1.0,1,4,7,"bp,heart"
55,aloo paratha,Pakistani,bread,"500g wheat/all-purpose flour, 1 cup water, 2 tbsp butter, salt","1. sieve the flour and add salt and water gradually. 2. knead into a soft, elastic dough and apply a thin layer of oil. 3. cover with a damp cloth and rest for 30-45 minutes. 4. divide into equal balls, roll into circles with a rolling pin. 5. cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp butter.",318,1,savory,all,1,1.0,1,4,11,"diabetic,bp,heart"
56,prawns tikka,Pakistani,main course,"1kg prawns, 2 tomato, 1 tbsp turmeric, oil, salt",1. sear meat with ginger-garlic. 2. add spices and tomatoes. 3. slow cook until tender. 4. garnish and serve.,622,0,spicy,all,0,,0,5,9,
57,kulfi,Pakistani,dessert,"2 cups cream, 1 cup sugar, cardamom, saffron, nuts",1. bring milk or water to a rolling boil in a heavy-bottomed pot. 2. add sugar and stir continuously until fully dissolved. 3. incorporate the primary flavorings like cardamom or saffron. 4. lower the heat and simmer until the mixture thickens to the desired consistency. 5. garnish with chopped nuts and raisins before serving warm or chilled.,314,1,sweet,all,0,1.0,1,5,11,"bp,heart"
58,keema naan,Pakistani,bread,"500g wheat/all-purpose flour, 1 cup water, 2 tbsp oil, salt","1. sieve the flour and add salt and water gradually. 2. knead into a soft, elastic dough and apply a thin layer of oil. 3. cover with a damp cloth and rest for 30-45 minutes. 4. divide into equal balls, roll into circles with a rolling pin. 5. cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp oil.",269,1,savory,all,1,1.0,1,4,11,"diabetic,bp,heart"
59,falooda,Pakistani,drink,"water/milk, sugar, ice/heat, saffron",1. mix base ingredients. 2. boil if hot drink or blend with ice if cold. 3. adjust sweetness and serve.,96,1,sweet,summer,0,1.0,1,4,7,"bp,heart"
60,samosa,Pakistani,snack,"flour/besan, coriander leaves, oil for frying, spices","1. in a large bowl, mix the base ingredients with spices like cumin and chili. 2. add water slowly to achieve a thick, smooth consistency. 3. dip the prepared fillings into the batter, ensuring even coating. 4. heat oil in a deep pan and carefully drop the pieces. 5. fry on medium heat until golden brown and crispy. 6. drain excess oil and serve with samosa specific chutneys.",318,1,spicy,all,1,1.0,1,4,13,"diabetic,bp,heart"
61,beef karahi,Pakistani,main course,"1kg beef, 2 garlic, 1 tbsp turmeric, oil, salt",1. sear meat with ginger-garlic. 2. add spices and tomatoes. 3. slow cook until tender. 4. garnish and serve.,588,0,spicy,all,0,,0,5,9,
62,beef tikka,Pakistani,main course,"1kg beef, 2 onion, 1 tbsp ajwain, oil, salt",1. sear meat with ginger-garlic. 2. add spices and tomatoes. 3. slow cook until tender. 4. garnish and serve.,903,0,spicy,all,0,,0,5,9,
63,gol gappay,Pakistani,snack,"flour/besan, garlic, oil for frying, spices","1. in a large bowl, mix the base ingredients with spices like cumin and chili. 2. add water slowly to achieve a thick, smooth consistency. 3. dip the prepared fillings into the batter, ensuring even coating. 4. heat oil in a deep pan and carefully drop the pieces. 5. fry on medium heat until golden brown and crispy. 6. drain excess oil and serve with gol gappay specific chutneys.",421,1,savory,all,0,,0,4,13,
64,dahi bhallay,Pakistani,snack,"flour/besan, onion, oil for frying, spices","1. in a large bowl, mix the base ingredients with spices like cumin and chili. 2. add water slowly to achieve a thick, smooth consistency. 3. dip the prepared fillings into the batter, ensuring even coating. 4. heat oil in a deep pan and carefully drop the pieces. 5. fry on medium heat until golden brown and crispy. 6. drain excess oil and serve with dahi bhallay specific chutneys.",436,1,spicy,all,0,,0,4,13,
65,fish paaya,Pakistani,main course,"1kg fish, 2 garlic, 1 tbsp red chili, oil, salt",1. sear meat with ginger-garlic. 2. add spices and tomatoes. 3. slow cook until tender. 4. garnish and serve.,631,0,spicy,all,0,,0,5,9,
66,phirni,Pakistani,dessert,"2 cups paneer, 1 cup sugar, cardamom, saffron, nuts",1. bring milk or water to a rolling boil in a heavy-bottomed pot. 2. add sugar and stir continuously until fully dissolved. 3. incorporate the primary flavorings like cardamom or saffron. 4. lower the heat and simmer until the mixture thickens to the desired consistency. 5. garnish with chopped nuts and raisins before serving warm or chilled.,445,1,sweet,all,0,,0,5,11,
67,chicken nihari,Pakistani,main course,"1kg chicken, 2 garlic, 1 tbsp ajwain, oil, salt",1. sear meat with ginger-garlic. 2. add spices and tomatoes. 3. slow cook until tender. 4. garnish and serve.,670,0,spicy,all,0,,0,5,9,
68,yakhni pulao,Pakistani,rice,"500g basmati rice, meat, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",521,1,spicy,all,0,,0,4,13,
69,bun kebab,Pakistani,snack,"flour/besan, garlic, oil for frying, spices","1. in a large bowl, mix the base ingredients with spices like cumin and chili. 2. add water slowly to achieve a thick, smooth consistency. 3. dip the prepared fillings into the batter, ensuring even coating. 4. heat oil in a deep pan and carefully drop the pieces. 5. fry on medium heat until golden brown and crispy. 6. drain excess oil and serve with bun kebab specific chutneys.",254,0,savory,all,1,1.0,0,4,13,"diabetic,bp"
70,shahi tukray,Pakistani,dessert,"2 cups paneer, 1 cup sugar, cardamom, saffron, nuts",1. bring milk or water to a rolling boil in a heavy-bottomed pot. 2. add sugar and stir continuously until fully dissolved. 3. incorporate the primary flavorings like cardamom or saffron. 4. lower the heat and simmer until the mixture thickens to the desired consistency. 5. garnish with chopped nuts and raisins before serving warm or chilled.,424,1,sweet,all,0,,0,5,11,
71,chana pulao,Pakistani,rice,"500g basmati rice, vegetables, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",395,1,spicy,all,1,,0,4,13,diabetic
72,keema naan,Pakistani,bread,"500g wheat/all-purpose flour, 1 cup water, 2 tbsp butter, salt","1. sieve the flour and add salt and water gradually. 2. knead into a soft, elastic dough and apply a thin layer of oil. 3. cover with a damp cloth and rest for 30-45 minutes. 4. divide into equal balls, roll into circles with a rolling pin. 5. cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp butter.",259,1,savory,all,1,1.0,1,4,11,"diabetic,bp,heart"
73,yakhni pulao,Pakistani,rice,"500g basmati rice, sugar, whole spices, ghee","1. wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. sauté whole spices and onions in a pot until golden. 3. add the meat or vegetables with spices and cook until tender. 4. in a separate pot, boil water with salt and cook rice until 70% done. 5. layer the rice over the base, add saffron or food color. 6. seal the pot and simmer (dum) on low heat for 15-20 minutes to allow flavors to meld.",469,1,spicy,all,0,,0,4,13,
