recipe_id,name,cuisine,category,ingredients,steps,calories,veg,health_tags,flavor_profile,season,suitable_for_diabetes,suitable_for_bp,suitable_for_heart_condition
11,Pakora,Pakistani,Snack,"Flour/Besan, Ginger, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Pakora specific chutneys.",441,yes,"savory, traditional",Savory,All,no,maybe,no
12,Plain Paratha,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Ghee, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Ghee.",178,yes,"savory, traditional",Savory,All,yes,yes,yes
13,Plain Boiled Rice,Pakistani,Rice,"500g Basmati Rice, Meat, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",414,yes,"savory, traditional",Savory,All,no,maybe,no
14,Garlic Naan,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Butter, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Butter.",221,yes,"savory, traditional",Savory,All,yes,yes,yes
15,Roti,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Ghee, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Ghee.",273,yes,"savory, traditional",Savory,All,yes,yes,yes
16,Gulab Jamun,Pakistani,Dessert,"2 cups Yogurt, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,495,yes,"sweet, traditional",Sweet,All,no,maybe,no
17,Garlic Naan,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Ghee, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Ghee.",328,yes,"savory, traditional",Savory,All,yes,yes,yes
18,Beef Biryani,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",538,no,"spicy, traditional",Spicy,All,no,maybe,no
19,Suji ka Halwa,Pakistani,Dessert,"2 cups Paneer, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,457,yes,"sweet, traditional",Sweet,All,no,maybe,no
20,Namak Pare,Pakistani,Snack,"Flour/Besan, Coriander Leaves, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Namak Pare specific chutneys.",291,yes,"spicy, traditional",Spicy,All,yes,yes,yes
21,Rooh Afza,Pakistani,Drink,"Water/Milk, Salt, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,245,yes,"sweet, traditional",Sweet,Summer,yes,yes,yes
22,Suji ka Halwa,Pakistani,Dessert,"2 cups Cream, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,538,yes,"sweet, traditional",Sweet,All,no,maybe,no
23,Beef Biryani,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",637,no,"spicy, traditional",Spicy,All,no,maybe,no
24,Pakora,Pakistani,Snack,"Flour/Besan, Tomato, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Pakora specific chutneys.",326,yes,"spicy, traditional",Spicy,All,yes,yes,yes
25,Zarda,Pakistani,Dessert,"2 cups Ghee, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,435,yes,"sweet, traditional",Sweet,All,no,maybe,no
26,Egg Fried Rice,Pakistani,Rice,"500g Basmati Rice, Vegetables, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",375,yes,"savory, traditional",Savory,All,yes,maybe,no
27,Dahi Bhallay,Pakistani,Snack,"Flour/Besan, Potato, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Dahi Bhallay specific chutneys.",330,yes,"savory, traditional",Savory,All,yes,yes,yes
28,Masala Chai,Pakistani,Drink,"Water/Milk, Sugar, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,177,yes,"sweet, traditional",Sweet,Winter,no,yes,yes
29,Kulfi,Pakistani,Dessert,"2 cups Cream, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,464,yes,"sweet, traditional",Sweet,All,no,maybe,no
30,Samosa,Pakistani,Snack,"Flour/Besan, Ginger, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Samosa specific chutneys.",214,yes,"savory, traditional",Savory,All,yes,yes,yes
31,Garlic Naan,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Butter, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Butter.",218,yes,"savory, traditional",Savory,All,yes,yes,yes
32,Kabuli Pulao,Pakistani,Rice,"500g Basmati Rice, Meat, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",446,yes,"spicy, traditional",Spicy,All,no,maybe,no
33,Yakhni Pulao,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",452,yes,"spicy, traditional",Spicy,All,no,maybe,no
34,Dahi Bhallay,Pakistani,Snack,"Flour/Besan, Tomato, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Dahi Bhallay specific chutneys.",231,yes,"spicy, traditional",Spicy,All,yes,yes,yes
35,Plain Boiled Rice,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",582,yes,"savory, traditional",Savory,All,no,maybe,no
36,Kabuli Pulao,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",503,yes,"spicy, traditional",Spicy,All,no,maybe,no
37,Doodh Patti,Pakistani,Drink,"Water/Milk, Salt, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,163,yes,"sweet, traditional",Sweet,Winter,yes,yes,yes
38,Matar Pulao,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",455,yes,"spicy, traditional",Spicy,All,no,maybe,no
39,Kulfi,Pakistani,Dessert,"2 cups Milk, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,394,yes,"sweet, traditional",Sweet,All,no,maybe,no
40,Rooh Afza,Pakistani,Drink,"Water/Milk, Sugar, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,173,yes,"sweet, traditional",Sweet,Summer,no,yes,yes
41,Plain Boiled Rice,Pakistani,Rice,"500g Basmati Rice, Vegetables, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",484,yes,"savory, traditional",Savory,All,no,maybe,no
42,Fish Sajji,Pakistani,Main Course,"1kg Fish, 2 Spinach, 1 tbsp Coriander powder, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,735,no,"spicy, traditional",Spicy,All,no,maybe,no
43,Chicken Nihari,Pakistani,Main Course,"1kg Chicken, 2 Spinach, 1 tbsp Garam Masala, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,537,no,"spicy, traditional",Spicy,All,no,maybe,no
44,Sugarcane Juice,Pakistani,Drink,"Water/Milk, Salt, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,257,yes,"sweet, traditional",Sweet,Summer,yes,yes,yes
45,Dahi Bhallay,Pakistani,Snack,"Flour/Besan, Tomato, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Dahi Bhallay specific chutneys.",418,yes,"spicy, traditional",Spicy,All,no,maybe,no
46,Mutton Qorma,Pakistani,Main Course,"1kg Mutton, 2 Onion, 1 tbsp Garam Masala, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,501,no,"spicy, traditional",Spicy,All,no,maybe,no
47,Chana Pulao,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",616,yes,"spicy, traditional",Spicy,All,no,maybe,no
48,Mutton Karahi,Pakistani,Main Course,"1kg Mutton, 2 Lemon, 1 tbsp Ajwain, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,674,no,"spicy, traditional",Spicy,All,no,maybe,no
49,Masala Chai,Pakistani,Drink,"Water/Milk, Sugar, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,269,yes,"sweet, traditional",Sweet,Winter,no,yes,yes
50,Mutton Haleem,Pakistani,Main Course,"1kg Mutton, 2 Green Chili, 1 tbsp Turmeric, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,916,no,"spicy, traditional",Spicy,All,no,maybe,no
51,Chana Pulao,Pakistani,Rice,"500g Basmati Rice, Meat, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",374,yes,"spicy, traditional",Spicy,All,yes,maybe,no
52,Beef Biryani,Pakistani,Rice,"500g Basmati Rice, Vegetables, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",720,no,"spicy, traditional",Spicy,All,no,maybe,no
53,Yakhni Pulao,Pakistani,Rice,"500g Basmati Rice, Vegetables, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",418,yes,"spicy, traditional",Spicy,All,no,maybe,no
54,Kashmiri Chai,Pakistani,Drink,"Water/Milk, Sugar, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,201,yes,"sweet, traditional",Sweet,Winter,no,yes,yes
55,Aloo Paratha,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Butter, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Butter.",318,yes,"savory, traditional",Savory,All,yes,yes,yes
56,Prawns Tikka,Pakistani,Main Course,"1kg Prawns, 2 Tomato, 1 tbsp Turmeric, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,622,no,"spicy, traditional",Spicy,All,no,maybe,no
57,Kulfi,Pakistani,Dessert,"2 cups Cream, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,314,yes,"sweet, traditional",Sweet,All,no,yes,yes
58,Keema Naan,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Oil, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Oil.",269,yes,"savory, traditional",Savory,All,yes,yes,yes
59,Falooda,Pakistani,Drink,"Water/Milk, Sugar, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,96,yes,"sweet, traditional",Sweet,Summer,no,yes,yes
60,Samosa,Pakistani,Snack,"Flour/Besan, Coriander Leaves, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Samosa specific chutneys.",318,yes,"spicy, traditional",Spicy,All,yes,yes,yes
61,Beef Karahi,Pakistani,Main Course,"1kg Beef, 2 Garlic, 1 tbsp Turmeric, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,588,no,"spicy, traditional",Spicy,All,no,maybe,no
62,Beef Tikka,Pakistani,Main Course,"1kg Beef, 2 Onion, 1 tbsp Ajwain, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,903,no,"spicy, traditional",Spicy,All,no,maybe,no
63,Gol Gappay,Pakistani,Snack,"Flour/Besan, Garlic, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Gol Gappay specific chutneys.",421,yes,"savory, traditional",Savory,All,no,maybe,no
64,Dahi Bhallay,Pakistani,Snack,"Flour/Besan, Onion, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Dahi Bhallay specific chutneys.",436,yes,"spicy, traditional",Spicy,All,no,maybe,no
65,Fish Paaya,Pakistani,Main Course,"1kg Fish, 2 Garlic, 1 tbsp Red chili, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,631,no,"spicy, traditional",Spicy,All,no,maybe,no
66,Phirni,Pakistani,Dessert,"2 cups Paneer, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,445,yes,"sweet, traditional",Sweet,All,no,maybe,no
67,Chicken Nihari,Pakistani,Main Course,"1kg Chicken, 2 Garlic, 1 tbsp Ajwain, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,670,no,"spicy, traditional",Spicy,All,no,maybe,no
68,Yakhni Pulao,Pakistani,Rice,"500g Basmati Rice, Meat, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",521,yes,"spicy, traditional",Spicy,All,no,maybe,no
